id,name
department_1,Нягтлан бодох бүртгэлийн тэнхим
department_2,Санхүүгийн тэнхим
department_3,Маркетинг худалдааны тэнхим
department_4,Менежментийн тэнхим
department_5,Биеийн тамирын тэнхим
department_6,Нийтийн эрх зүйн тэнхим
department_7,Хувийн эрх зүйн тэнхим
department_8,Биологийн тэнхим
department_9,Газарзүйн тэнхим
department_10,"Геологи, геофизикийн тэнхим"
department_11,Математикийн тэнхим
department_12,Физикийн тэнхим
department_13,Химийн тэнхим
department_14,"Цаг уур, ус судлалын тэнхим"
department_15,"Археологи, антропологи, хүн ам зүйн тэнхим"
department_16,Сэтгэл судлалын тэнхим
department_17,"Социологи, нийгмийн ажлын тэнхим"
department_18,"Сэтгүүл зүй, олон нийтийн харилцааны тэнхим"
department_19,Эдийн засгийн тэнхим
department_20,Боловсрол судлалын тэнхим
department_21,Ази судлалын тэнхим
department_22,Европ судлалын тэнхим
department_23,"Их Британи, Америк судлалын тэнхим"
department_24,"Монгол хэл, хэл шинжлэлийн тэнхим"
department_25,Түүхийн тэнхим
department_26,"Утга зохиол, урлаг судлалын тэнхим"
department_27,"Философи, шашин судлалын тэнхим"
department_28,"Мэдээлэл, компьютерийн ухааны тэнхим"
department_29,"Статистик, хэрэглээний математикийн тэнхим"
department_30,"Электроник, холбооны инженерчлэлийн тэнхим"
department_31,"Хими, биологийн инженерчлэлийн тэнхим"
department_32,"Хүрээлэн буй орчин, ойн инженерчлэлийн тэнхим"
department_33,"Ногоон эрчим хүч, инженерчлэлийн тэнхим"
department_34,Олон улсын харилцааны тэнхим
department_35,Нийтийн удирдлагын тэнхим
department_36,Улс төр судлалын тэнхим
department_37,Дипломат орчуулгын тэнхим
department_38,Гадаад хэлний сургалтын төв